play_name;play_scene;scene_number;play_character_list;play_non_speaking_characters;play_character_count;act_num;scene_num
Henry V;H5 V.ii;23;Alice, Bedford, Burgundy, Clarence, Exeter, French King, Gloucester, Katherine, King Henry, Huntingdon, Queen Isabel, Warwick, Westmorland,;yes;13;5;2
Henry VI Part 1;1H6 I.i;1;Bedford, Exeter, Gloucester, Heralds, First Messenger, Secoond Messenger, Third Messenger, Warwick, Winchester;yes;9;1;1
Henry VI Part 1;1H6 I.ii;2;Alencon, Bastard, Charles, Pucelle, Reignier;yes;5;1;2
Henry VI Part 1;1H6 I.iii;3;Gloucester, Mayor, Officer, First Servingman, First Watch, Servingmen, Winchester, Woodville;yes;8;1;3
Henry VI Part 1;1H6 I.iv;4;Boy, Gargrave, Glansdale, Master Gunner, Messenger, Salisbury, Talbot;yes;7;1;4
Henry VI Part 1;1H6 I.v;5;Charles, Pucelle, Talbot;yes;3;1;5
Henry VI Part 1;1H6 I.vi;6;Alencon, Charles, Pucelle, Reignier;no;4;1;6
Henry VI Part 1;1H6 II.i;7;Alencon, Bastard, Bedford, Burgundy, Charles, Pucelle, Reignier, First Sentinel, Sergeant, Soldier, Talbot;yes;11;2;1
Henry VI Part 1;1H6 II.ii;8;Bedford, Burgundy, Captain, Messenger, Talbot;yes;5;2;2
Henry VI Part 1;1H6 II.iii;9;Countess, Messenger, Porter, Talbot;yes;4;2;3
Henry VI Part 1;1H6 II.iv;10;Lawyer, Richard, Somerset, Suffolk, Vernon, Warwick;yes;6;2;4
Henry VI Part 1;1H6 II.v;11;Gaoler, Mortimer, Richard;no;3;2;5
Henry VI Part 1;1H6 III.i;12;Exeter, Gloucester, King, Mayor, Richard, First Servingman, Second Servingman, Third Servingman, Somserset, Suffolk, Warwick, Winchester,;yes;12;3;1
Henry VI Part 1;1H6 III.ii;13;Alencon, Bastard, Bedford, Burgundy, Captain, Charles, Falstaff [soldier], Pucelle, Reignier, First Soldier, Talbot, Watch;yes;12;3;2
Henry VI Part 1;1H6 III.iii;14;Alencon, Bastard, Burgundy, Charles, Pucelle;yes;5;3;3
