play_name;play_scene;scene_number;play_character_list;play_non_speaking_characters;play_character_count
Hamlet;Ham IV.vi;3;Gentleman, Horatio, Sailor;no;3
Hamlet;Ham I.iv;4;Ghost, Hamlet, Horatio, Marcellus;no;4
Hamlet;Ham I.v;5;Ghost, Hamlet, Horatio, Marcellus;no;4
Hamlet;Ham III.iv;6;Ghost, Hamlet, Polonius, Queen/Gertrude;no;4
Hamlet;Ham IV.i;7;Guildenstern, King/Claudius, Queen/Gertrude, Rosencrantz;no;4
Hamlet;Ham IV.ii;8;Gentlemen, Guildenstern, Hamlet, Rosencrantz;yes;4
Hamlet;Ham IV.iii;9;Guildenstern, Hamlet, King/Claudius, Rosencrantz;yes;4
Hamlet;Ham IV.vii;10;King/Claudius, Laertes, Messenger, Queen/Gertrude;no;4
Hamlet;Ham I.i;11;Barnardo, Francisco, Ghost, Horatio, Marcellus;no;5
Hamlet;Ham III.iii;12;Guildenstern, Hamlet, King/Claudius, Polonius, Rosencrantz;no;5
Hamlet;Ham IV.iv;13;Captain, Fortinbras, Guildenstern, Hamlet, Rosencrantz;yes;5
Hamlet;Ham III.i;14;Hamlet, Guildenstern, King/Claudius, Ophelia, Polonius, Queen/Gertrude, Rosencrantz;no;7
Hamlet;Ham IV.v;15;Gentleman, Horatio, King/Claudius, Laertes, Messenger, Ophelia, Queen/Gertrude;yes;7
Hamlet;Ham V.ii;16;Fortinbras, Hamlet, Horatio, King/Claudius, Laertes, Osrick, Queen/Gertrude;yes;7
Hamlet;Ham II.ii;17;Cornelius, First Player, Hamlet, King/Claudius, Queen/Gertrude, Guildenstern, Polonius, Rosencrantz, Voltemand;yes;9
Hamlet;Ham V.i;18;First Clown, Second Clown, Hamlet, Horatio, King/Claudius, Laertes, Ophelia, Priest, Queen/Gertrude;yes;9
Hamlet;Ham I.ii;19;Barnardo, Cornelius, Hamlet, Horatio, King/Claudius, Laertes, Marcellus, Polonius, Queen/Gertrude, Voltemand;yes;10
Hamlet;Ham III.ii;20;First Player, Guildenstern, Hamlet, Horatio, King/Claudius, Ophelia, First Player, Second Player, Third Player, Fourth Player, Polonius,13 Queen/Gertrude, Rosencrantz;yes;13
Henry IV Part 1;1H4 III.ii;1;King Henry, Prince Hal;yes;2
Henry IV Part 1;1H4 IV.iv;2;Archbishop, Sir Michael;no;2
Henry IV Part 1;1H4 I.ii;3;Falstaff, Prince Hal, Poins;no;3
Henry IV Part 1;1H4 II.iii;4;Hotspur, Lady Percy, Servant;no;3
Henry IV Part 1;1H4 I.i;5;Blunt, Lancaster, King Henry, Westmorland;yes;4
Henry IV Part 1;1H4 III.iii;6;Bardolph, Falstaff, Prince Hal, Hostess;no;4
Henry IV Part 1;1H4 IV.ii;7;Bardolph, Falstaff, Prince Hal, Westmorland;no;4
Henry IV Part 1;1H4 II.i;8;First Carrier, Second Carrier, Chamberlain, Gadshill, Ostler;no;5
Henry IV Part 1;1H4 IV.i;9;Douglas, Hotspur, Messenger, Vernon, Worcester;no;5
Henry IV Part 1;1H4 IV.iii;10;Blunt, Douglas, Hotspur, Vernon, Worcester;no;5
Henry IV Part 1;1H4 I.iii;11;Blunt, Hotspur, King Henry, Northumberland, Westmorland, Worcester;yes;6
Henry IV Part 1;1H4 V.ii;12;Douglas, Hotspur, Messenger, Second Messenger, Vernon, Worcester;no;6
Henry IV Part 1;1H4 V.iii;13;Blunt, Douglas, Falstaff, Prince Hal, King Henry, Hotspur;yes;6
Henry IV Part 1;1H4 V.v;14;King Henry, Prince Hal, Lancaster, Westmorland, Vernon, Worcester;no;6
Henry IV Part 1;1H4 II.ii;15;Bardolph, Falstaff, Gadshill, Prince Hal, Peto, Poins, First Traveller, Second Traveller;no;7
Henry IV Part 1;1H4 III.i;16;Glendower, Hotspur, Lady Percy, Lady Mortimer, Mortimer, Westmorland, Worcester;no;7
Henry IV Part 1;1H4 V.i;17;Blunt, Falstaff, King Henry, Prince Hal, Lancaster, Vernon, Worcester;no;7
Henry IV Part 1;1H4 V.iv;18;Douglas, Falstaff, King Henry, Prince Hal, Hotspur, Lancaster, Westmorland;no;7
Henry IV Part 1;1H4 II.iv;19;Bardolph, Carrier, Falstaff, Francis, Gadshill, Prince Hal, Hostess, Peto, Poins, Sheriff, Vintner;no;11
Henry IV Part 2;2H4 induction;1;Rumour;no;1
Henry IV Part 2;2H4 II.iii;2;Northumberland, Lady Northumberland, Lady Percy;no;3
Henry IV Part 2;2H4 V.iv;3;First Beadle, Doll, Hostess;yes;3
Henry IV Part 2;2H4 I.ii;4;Falstaff, Lord Chief Justice, Page, Servant;no;4
Henry IV Part 2;2H4 I.iii;5;Archbishop, Lord Bardolph, Hastings, Mowbray;no;4
Henry IV Part 2;2H4 II.ii;6;Bardolph, Prince Henry, Page, Poins;no;4
Henry IV Part 2;2H4 III.i;7;King Henry IV, Page, Surrey, Warwick;no;4
Henry IV Part 2;2H4 I.i;8;Lord Bardolph, Morton, Northumberland, Porter, Travers;no;5
Henry IV Part 2;2H4 IV.i;9;Archbishop, Hastings, Messenger, Mowbray, Westmorland;yes;5
Henry IV Part 2;2H4 IV.ii;10;Archbishop, Captain, Hastings, Prince John, Westmorland;yes;5
Henry IV Part 2;2H4 IV.iii;11;Bardolph, Colevile, Falstaff, Prince John, Westmorland;yes;5
Henry IV Part 2;2H4 V.i;12;Bardolph, Davy, Falstaff, Page, Shallow;no;5
Henry IV Part 2;2H4 IV.iv;13;Clarence, Gloucester, Harcourt, King Henry IV, Warwick, Westmorland;yes;6
Henry IV Part 2;2H4 IV.v;14;Clarence, Gloucester, King Henry IV, Prince Henry, Prince John, Warwick;yes;6
Henry IV Part 2;2H4 V.ii;15;Clarence, Gloucester, King Henry V, Prince John, Lord Chief Justice, Warwick;yes;6
Henry IV Part 2;2H4 V.iii;16;Bardolph, Davy, Falstaff, Page, Pistol, Shallow , Silence;no;7
Henry IV Part 2;2H4 II.i;17;Bardolph, Falstaff, Fang, Gower, Hostess, Lord Chief Justice, Page, Snare;no;8
Henry IV Part 2;2H4 III.ii;18;Bardolph, Bullcalf, Falstaff, Feeble, Mouldy, Shadow, Shallow, Silence, Wart;yes;9
Henry IV Part 2;2H4 II.iv;19;Bardolph, Doll, Drawer, Falstaff, Francis, Prince Henry, Hostess, Page, Peto, Pistol, Poins, Will;yes;12
Henry IV Part 2;2H4 V.v;20;Bardolph, Epilogue, Falstaff, First Groom, Second Groom, Third Groom, King Henry V, Prince John, Lord Chief Justice, Page, Pistol, Shallow;yes;12
Henry V;H5 I.Chorus;1;Chorus;no;1
Henry V;H5 II.Chorus;2;Chorus;no;1
Henry V;H5 III.Chorus;3;Chorus;no;1
Henry V;H5 IV.Chorus;4;Chorus;no;1
Henry V;H5 V.Chorus;5;Chorus;no;1
Henry V;H5 Epil.chorus;6;Chorus;no;1
Henry V;H5 I.i;7;Canterbury, Ely;no;2
Henry V;H5 III.iv;8;Alice, Katherine;no;2
Henry V;H5 IV.vi;9;Exeter, King Henry;yes;2
Henry V;H5 III.i;10;Exeter, Gloucester, King Henry;yes;3
Henry V;H5 III.iii;11;Exeter, Governor, King Henry;yes;3
Henry V;H5 IV.iv;12;Boy, French Soldier, Pistol;no;3
Henry V;H5 V.i;13;Fluellen, Gower, Pistol;no;3
Henry V;H5 III.v;14;Britaine, Constable, Dauphin, French King,;yes;4
Henry V;H5 II.i;15;Bardolph, Boy, Hostess, Nym, Pistol;no;5
Henry V;H5 II.iii;16;Bardolph, Boy, Hostess, Nym, Pistol;no;5
Henry V;H5 III.vii;17;Constable, Dauphin, Messenger, Orleans, Rambures;yes;5
Henry V;H5 IV.v;18;Bourbon, Constable, Dauphin, Orleans, Rambures;no;5
Henry V;H5 III.vi;19;Fluellen, Gloucester, Gower, King Henry, Montjoy, Pistol;yes;6
Henry V;H5 IV.ii;20;Constable, Dauphin, Grandpre, Messenger, Orleans, Rambures;yes;6
Henry V;H5 II.ii;21;Bedford, Cambridge, Exeter, Grey, King Henry, Scroop, Westmorland;yes;7
Henry V;H5 II.iv;22;Berri, Britaine, Constable, Dauphin, Exeter, French King, Messenger;yes;7
Henry V;H5 IV.vii;23;Exeter, Fluellen, Gloucester, Gower, King Henry, Montjoy, Williams;yes;7
